Employment 2034
632.2
6.6
142.9
36.9
5.8
41.2
20.8
185.4
29.9
96.3
871.8
61.8
21.3
16.2
285.3
375.3
26.4
23.3
32.7
10.3
3.3
14.0
1.7
7.2
9.4
140.2
47.6
33.5
33.4
17.0
19.8
7.7
13.4
21.1
88.1
5.2
16.0
10.3
5.3
14.8
3876.8
75.6
4.3
1.5
4.2
10.0
26.0
62.5
36.8
271.5
9.3
61.7
14.5
607.4
51.8
24.9
75.0
48.1
339.7
188.1
42.2
43.1
208.1
113.5
12.6
12.9
459.7
2324.4
27.4
14.4
26.4
66.7
6.9
101.0
7.6
47.5
153.5
5.5
163.9
3.5
24.6
2.7
38.3
5087.5
423.5
274.0
88.4
233.0
1002.7
3.0
6.3
75.9
389.6
510.3
246.5
801.6
5.9
153.0
234.9
598.1
226.5
235.5
41.7
28.5
8.4
247.2
589.8
123.7
89.9
76.6
145.1
2495.5
33.2
28.0
14.9
115.2
65.4
3033.1
22.6
1235.0
16.4
213.5
30.2
900.7
5.4
147.3
50.7
28.6
144.5
78.9
5.3
73.2
668.5
8.1
86.2
158.4
1158.6
11.5
5.0
173.5
306.5
16.6
17.2
27.2
53.8
4.6
30.5
3.0
281.3
40.4
299.6
47.2
1362.8
62.9
1692.1
55.9
7.6
1169.7
1393.5
224.8
3.3
9.0
1004.7
433.7
87.7
193.9
28.9
24.3
9.1
5.2
60.2
2.4
154.9
31.7
40.1
38.3
319.6
15.2
35.3
759.1
12.4
912.2
4.9
84.2
76.8
208.6
179.6
885.3
41.8
163.3
150.1
199.3
18.5
20.3
17.7
21.6
621.3
11.8
41.3
7.0
1465.9
36.2
94.3
199.6
2.6
0.9
6.7
44.3
148.8
28.4
2.0
84.0
27.8
2.8
15.7
130.3
16.5
47.2
6.3
108.2
317.7
33.8
47.4
15.3
20.6
4.9
5.5
58.5
9.5
448.8
1474.0
106.9
148.4
34.6
182.1
5.3
58.7
214.8
2468.2
21.6
507.1
136.2
20.0
94.4
82.2
51.6
74.1
55.8
11.5
37.8
398.2
559.7
355.2
8.9
91.4
2.5
376.8
107.0
139.8
8.2
280.6
26.8
1.2
0.4
48.6
134.2
46.8
100.4
357.2
26.7
107.5
30.7
19.8
34.0
350.5
41.1
521.8
27.5
147.5
154.0
10.9
32.1
46.9
136.0
296.4
195.8
25.6
17.5
3.3
32.9
16.6
25.2
27.4
527.2
9.9
720.8
22.2
6.3
71.6
308.1
97.5
12.7
186.8
5.7
9.0
28.0
11.0
22.3
578.1
24.6
30.0
138.0
46.2
94.8
56.6
175.2
294.3
381.7
1105.0
11.9
80.2
483.1
86.1
38.3
173.3
57.7
54.4
87.3
331.0
108.9
13.5
86.1
19.6
12.7
237.8
18.4
1.6
3.1
15.3
11.1
37.2
115.0
433.7
1007.6
15.7
341.1
16.6
21.7
0.9
149.2
3557.1
93.2
20.3
89.0
135.6
94.7
156.4
3917.1
25.4
3.4
20.6
1.5
176.5
13.4
47.1
32.8
127.1
59.9
648.5
1264.7
1314.9
308.9
44.7
69.5
67.7
1076.7
1913.2
531.6
94.9
1267.1
433.0
35.4
52.0
32.7
45.4
32.0
5.0
110.7
19.6
130.1
9.0
795.8
9.1
3.9
260.3
8.8
103.9
71.2
233.9
478.5
42.3
21.1
40.1
17.5
84.1
3.6
15.7
1961.4
221.9
21.8
40.6
16.6
41.5
226.1
93.0
29.7
161.5
58.0
215.5
34.0
6.3
34.9
2999.8
11.8
68.6
45.0
564.6
518.5
9.9
26.6
120.8
8.3
62.1
58.6
27.0
37.1
12.5
15.6
56.5
94.7
226.6
153.5
1401.7
199.6
56.9
150.4
96.8
52.5
2.9
302.5
1.3
5.5
8.2
13.6
19.8
13.3
62.5
58.0
0.2
21.4
119.9
58.5
49.3
5.4
60.3
8.2
49.2
501.0
3.2
26.1
47.1
11.9
229.8
67.2
62.1
216.8
20.4
3.4
22.3
46.2
123.1
94.7
128.1
146.4
2313.5
1.4
123.8
137.9
92.5
47.4
467.2
35.4
17.9
20.5
16.8
61.9
25.6
140.3
18.5
